model,model_key,mae,rmse,mape,r2,symbol
Linear Regression,linear_regression,12.149370508646934,13.961728296466571,4.23544889125609,0.35390678012693455,AAPL
Random Forest,random_forest,15.910959825398162,19.297291686647426,5.269681111633939,-0.7531886483959316,AAPL
XGBoost,xgboost,15.235137939453125,18.83277021545204,5.038174670785951,-0.6697995592118593,AAPL
LightGBM,lightgbm,16.34506780420473,19.875586543062443,5.414707317920895,-0.8598410745173304,AAPL
Linear Regression,linear_regression,27.999899828672977,31.48649117328819,6.720086270464779,-1.930349299958165,MSFT
Random Forest,random_forest,11.616539706790268,14.834718417196335,2.734512674476658,0.09500236705786402,MSFT
XGBoost,xgboost,9.48167696866122,12.87158969013018,2.225747821715269,0.3186767595974056,MSFT
LightGBM,lightgbm,8.769813502449841,12.305768348807934,2.0535586278884472,0.3772606634826565,MSFT
Linear Regression,linear_regression,57.34051164982637,61.666545995291045,14.711011080235718,-4.605953023942155,TSLA
Random Forest,random_forest,6.724670099850078,8.307002419294772,1.6513815559486893,0.8455430642973698,TSLA
XGBoost,xgboost,5.974519903009588,7.341337490133037,1.4681876116246633,0.8793661690696977,TSLA
LightGBM,lightgbm,4.942154283445962,5.9248292042144195,1.220916669753347,0.9214275289801488,TSLA
Linear Regression,linear_regression,19.64880415897458,21.31496337729912,5.3786305455128645,0.26047896546994964,GOOGL
Random Forest,random_forest,37.41638199533062,42.08341564444471,9.787866771538976,-3.46955713063854,GOOGL
XGBoost,xgboost,38.97380690141158,43.72617640693649,10.203103943859215,-3.825313503253529,GOOGL
LightGBM,lightgbm,39.44595877598858,44.081630386497075,10.328922938831134,-3.904083175868589,GOOGL
Linear Regression,linear_regression,37.648414964929316,39.74952996348144,14.46694900069628,-8.74887643910242,AMZN
Random Forest,random_forest,16.3544585206412,18.72301335799966,6.181810737466642,-1.8266192348283798,AMZN
XGBoost,xgboost,18.754147963090375,20.59266709202505,7.1306780850292535,-2.4193299702589846,AMZN
LightGBM,lightgbm,17.93293012769596,19.53673830255832,6.833389306044495,-2.0776549952596364,AMZN
LightGBM,lightgbm,17.487184898757015,20.344910557028037,5.1702989720876635,-1.10857821063655,AVERAGE
Linear Regression,linear_regression,30.957400222210037,33.63585176116527,9.102425157633146,-2.9341586034811713,AVERAGE
Random Forest,random_forest,17.604602029602066,20.64908830511658,5.125050570212981,-1.0217639165015235,AVERAGE
XGBoost,xgboost,17.68385793512518,20.67290817893536,5.2131784266028705,-1.143280020811454,AVERAGE
